title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Appartement meublé à vendre dans un quartier résidentiel à Tamassna,550000.0,Tamesna,Toute la ville,61.0,1.0,2.0,0.0,,https://www.avito.ma/fr/tamesna/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_dans_un_quartier_r%C3%A9sidentiel_%C3%A0_Tamassna_57140046.htm,9016.39,,Ground floor,Mid-range,Medium,Tamesna | Toute la ville,1,1,1,1,1,0,1,0
🏡 Appartement rénové à vendre à Majorelle,1300000.0,Marrakech,Majorelle,,3.0,1.0,4.0,,https://www.avito.ma/fr/majorelle/appartements/___Appartement_r%C3%A9nov%C3%A9_%C3%A0_vendre_%C3%A0_Majorelle_57596889.htm,,,Mid floor,Upper mid-range,Unknown,Marrakech | Majorelle,1,0,1,1,1,0,0,0
Appartement neuf 98m² à vendre à salé Tabriquet,1220000.0,Salé,Tabriquet,98.0,3.0,2.0,2.0,,https://www.avito.ma/fr/tabriquet/appartements/Appartement_neuf_98m%C2%B2_%C3%A0_vendre_%C3%A0_sal%C3%A9_Tabriquet_45814550.htm,12448.98,,Low floor,Upper mid-range,Medium,Salé | Tabriquet,1,1,1,1,1,0,0,0
Appartement à vendre à Cabo Negro,1400000.0,Cabo Negro,Toute la ville,75.0,1.0,1.0,0.0,,https://www.avito.ma/fr/cabo_negro/appartements/Appartement_%C3%A0_vendre_%C3%A0_Cabo_Negro_57745510.htm,18666.67,,Ground floor,Upper mid-range,Medium,Cabo Negro | Toute la ville,1,1,1,1,1,0,1,0
À vendre Superbe appartement 3 ch-Jnane Californie,1900000.0,Casablanca,Californie,119.0,3.0,2.0,10.0,,https://www.avito.ma/fr/californie/appartements/%C3%80_vendre_Superbe_appartement_3_ch_Jnane_Californie_57815555.htm,15966.39,,High floor,Upper mid-range,Large,Casablanca | Californie,1,1,1,1,1,0,0,0
Studio vue piscine à vendre 51 m² à Marrakech,1150000.0,Marrakech,Hivernage,51.0,1.0,1.0,2.0,,https://www.avito.ma/fr/hivernage/appartements/Studio_vue_piscine_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Marrakech_57774591.htm,22549.02,,Low floor,Upper mid-range,Medium,Marrakech | Hivernage,1,1,1,1,1,0,0,0
Studio exceptionnel de 60 m² au centre Guéliz,1500000.0,Marrakech,Guéliz,60.0,1.0,1.0,5.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_exceptionnel_de_60_m%C2%B2_au_centre_Gu%C3%A9liz_57638403.htm,25000.0,,Mid floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Joli appart 113m2 près de Amoud et McDonald,1300000.0,Marrakech,Av Abdelkrim El Khattabi,113.0,2.0,1.0,2.0,,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Joli_appart_113m2_pr%C3%A8s_de_Amoud_et_McDonald_57720703.htm,11504.42,,Low floor,Upper mid-range,Large,Marrakech | Av Abdelkrim El Khattabi,1,1,1,1,1,0,0,0
Appartement à vendre 121 m² à Casablanca,2000000.0,Casablanca,Californie,121.0,3.0,2.0,4.0,,https://www.avito.ma/fr/californie/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Casablanca_57834569.htm,16528.93,,Mid floor,Premium,Large,Casablanca | Californie,1,1,1,1,1,0,0,0
Appartement à vendre avec piscine et parking,1442000.0,Tanger,Tanja Balia,,2.0,2.0,2.0,,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_avec_piscine_et_parking_55906870.htm,,,Low floor,Upper mid-range,Unknown,Tanger | Tanja Balia,1,0,1,1,1,0,0,0
Appartement 195m² à vendre à Californie Bachkou,2550000.0,Casablanca,Californie,195.0,3.0,2.0,5.0,,https://www.avito.ma/fr/californie/appartements/Appartement_195m%C2%B2_%C3%A0_vendre_%C3%A0_Californie_Bachkou_56762095.htm,13076.92,,Mid floor,Premium,Very large,Casablanca | Californie,1,1,1,1,1,0,0,0
Studios Neuf 36m à 38m Quartiers Des Hôpitaux,820000.0,Casablanca,2 Mars,36.0,1.0,1.0,2.0,,https://www.avito.ma/fr/2_mars/appartements/Studios_Neuf_36m_%C3%A0_38m_Quartiers_Des_H%C3%B4pitaux_54451973.htm,22777.78,,Low floor,Mid-range,Small,Casablanca | 2 Mars,1,1,1,1,1,0,0,0
Penthouse avec piscine à vendre 320 m² à Tanger,7680000.0,Tanger,Malabata,320.0,2.0,1.0,9.0,,https://www.avito.ma/fr/malabata/appartements/Penthouse_avec_piscine_%C3%A0_vendre_320_m%C2%B2_%C3%A0_Tanger_57316830.htm,24000.0,,High floor,Premium,Very large,Tanger | Malabata,1,1,1,1,1,0,0,0
