listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/les_princesses/appartements/Appartement_neuf_%C3%A0_vendre_72m%C2%B2_aux_princesses_57290444.htm,1600000.0,Casablanca,Les Princesses,72.0,2.0,2.0,5.0,,22222.22,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_riad/appartements/Aptmts_neuf_%C3%A0_hay_riyad_57457147.htm,3400000.0,Rabat,Hay Riad,120.0,3.0,1.0,1.0,,28333.33,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm,1500000.0,Marrakech,Palmeraie,95.0,2.0,2.0,3.0,,15789.47,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Oujda_54663434.htm,380000.0,Oujda,Centre Ville,85.0,2.0,1.0,1.0,,4470.59,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_hay_ziton_54393530.htm,440000.0,Oujda,Hay Zitoune,100.0,3.0,1.0,3.0,,4400.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_57600721.htm,270000.0,Oujda,Agdal,80.0,3.0,1.0,2.0,,3375.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/racine/appartements/A_vendre_un_appartement_avec_terrasse_57516868.htm,3750000.0,Casablanca,Racine,190.0,4.0,3.0,3.0,,19736.84,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/ferme_bretone/appartements/%C3%80_vendre_appartement_3_CH_avec_terrasse_de_44m2_57406538.htm,2350000.0,Casablanca,Ferme Bretone,144.0,3.0,3.0,1.0,,16319.44,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/2_mars/appartements/Appartement_165m%C2%B2__RDC_%C3%A0_vendre__2_Mars_Casablanca_56040548.htm,1540000.0,Casablanca,2 Mars,35.0,4.0,2.0,0.0,,44000.0,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/hermitage/appartements/Studios_neufs_%C3%A0_vendre_%C3%A0_HERMITAGE_55079135.htm,960000.0,Casablanca,Hermitage,,1.0,1.0,3.0,,,,1,0,1,1,1,0,0,0
